unit,sex,age,region,year,value
YR,M,Y58,FR,2020,24.5
YR,M,Y59,FR,2020,23.7
YR,M,Y6,FR,2020,73.6
YR,M,Y60,FR,2020,22.9
YR,M,Y61,FR,2020,22.1
YR,M,Y62,FR,2020,21.3
YR,M,Y63,FR,2020,20.5
YR,M,Y64,FR,2020,19.8
YR,M,Y65,FR,2020,19.0
YR,M,Y66,FR,2020,18.3
YR,M,Y67,FR,2020,17.6
YR,M,Y68,FR,2020,16.8
YR,M,Y69,FR,2020,16.1
YR,M,Y7,FR,2020,72.6
YR,M,Y70,FR,2020,15.4
YR,M,Y71,FR,2020,14.7
YR,M,Y72,FR,2020,14.0
YR,M,Y73,FR,2020,13.3
YR,M,Y74,FR,2020,12.6
YR,M,Y75,FR,2020,12.0
YR,M,Y76,FR,2020,11.3
YR,M,Y77,FR,2020,10.7
YR,M,Y78,FR,2020,10.1
YR,M,Y79,FR,2020,9.5
YR,M,Y8,FR,2020,71.6
YR,M,Y80,FR,2020,8.9
YR,M,Y81,FR,2020,8.3
YR,M,Y82,FR,2020,7.7
YR,M,Y83,FR,2020,7.2
YR,M,Y84,FR,2020,6.7
YR,M,Y9,FR,2020,70.6
YR,M,Y_GE85,FR,2020,6.2
YR,M,Y_LT1,FR,2020,79.2
YR,T,Y1,FR,2020,81.6
YR,T,Y10,FR,2020,72.7
YR,T,Y11,FR,2020,71.7
YR,T,Y12,FR,2020,70.7
YR,T,Y13,FR,2020,69.7
YR,T,Y14,FR,2020,68.7
YR,T,Y15,FR,2020,67.7
YR,T,Y16,FR,2020,66.7
YR,T,Y17,FR,2020,65.7
YR,T,Y18,FR,2020,64.7
YR,T,Y19,FR,2020,63.8
YR,T,Y2,FR,2020,80.6
YR,T,Y20,FR,2020,62.8
YR,T,Y21,FR,2020,61.8
YR,T,Y22,FR,2020,60.8
YR,T,Y23,FR,2020,59.8
YR,T,Y24,FR,2020,58.9
YR,T,Y25,FR,2020,57.9
YR,T,Y26,FR,2020,56.9
YR,T,Y27,FR,2020,55.9
YR,T,Y28,FR,2020,55.0
YR,T,Y29,FR,2020,54.0
YR,T,Y3,FR,2020,79.6
YR,T,Y30,FR,2020,53.0
YR,T,Y31,FR,2020,52.0
YR,T,Y32,FR,2020,51.1
YR,T,Y33,FR,2020,50.1
YR,T,Y34,FR,2020,49.1
YR,T,Y35,FR,2020,48.2
YR,T,Y36,FR,2020,47.2
YR,T,Y37,FR,2020,46.2
YR,T,Y38,FR,2020,45.3
YR,T,Y39,FR,2020,44.3
YR,T,Y4,FR,2020,78.6
YR,T,Y40,FR,2020,43.4
YR,T,Y41,FR,2020,42.4
YR,T,Y42,FR,2020,41.5
YR,T,Y43,FR,2020,40.5
YR,T,Y44,FR,2020,39.6
YR,T,Y45,FR,2020,38.6
YR,T,Y46,FR,2020,37.7
YR,T,Y47,FR,2020,36.8
YR,T,Y48,FR,2020,35.8
YR,T,Y49,FR,2020,34.9
YR,T,Y5,FR,2020,77.6
YR,T,Y50,FR,2020,34.0
YR,T,Y51,FR,2020,33.1
YR,T,Y52,FR,2020,32.2
YR,T,Y53,FR,2020,31.3
YR,T,Y54,FR,2020,30.4
YR,T,Y55,FR,2020,29.5
YR,T,Y56,FR,2020,28.7
YR,T,Y57,FR,2020,27.8
YR,T,Y58,FR,2020,27.0
YR,T,Y59,FR,2020,26.1
YR,T,Y6,FR,2020,76.6
YR,T,Y60,FR,2020,25.3
YR,T,Y61,FR,2020,24.4
YR,T,Y62,FR,2020,23.6
YR,T,Y63,FR,2020,22.8
YR,T,Y64,FR,2020,22.0
YR,T,Y65,FR,2020,21.2
YR,T,Y66,FR,2020,20.4
YR,T,Y67,FR,2020,19.6
YR,T,Y68,FR,2020,18.8
YR,T,Y69,FR,2020,18.1
YR,T,Y7,FR,2020,75.6
YR,T,Y70,FR,2020,17.3
YR,T,Y71,FR,2020,16.5
YR,T,Y72,FR,2020,15.8
YR,T,Y73,FR,2020,15.0
YR,T,Y74,FR,2020,14.3
YR,T,Y75,FR,2020,13.6
YR,T,Y76,FR,2020,12.9
YR,T,Y77,FR,2020,12.2
YR,T,Y78,FR,2020,11.5
YR,T,Y79,FR,2020,10.8
YR,T,Y8,FR,2020,74.7
YR,T,Y80,FR,2020,10.2
YR,T,Y81,FR,2020,9.5
YR,T,Y82,FR,2020,8.9
YR,T,Y83,FR,2020,8.3
YR,T,Y84,FR,2020,7.8
YR,T,Y9,FR,2020,73.7
YR,T,Y_GE85,FR,2020,7.2
YR,T,Y_LT1,FR,2020,82.3
YR,F,Y1,FR,2019,85.2
YR,F,Y10,FR,2019,76.3
YR,F,Y11,FR,2019,75.3
YR,F,Y12,FR,2019,74.3
YR,F,Y13,FR,2019,73.3
YR,F,Y14,FR,2019,72.3
YR,F,Y15,FR,2019,71.3
YR,F,Y16,FR,2019,70.4
YR,F,Y17,FR,2019,69.4
YR,F,Y18,FR,2019,68.4
YR,F,Y19,FR,2019,67.4
YR,F,Y2,FR,2019,84.3
YR,F,Y20,FR,2019,66.4
YR,F,Y21,FR,2019,65.4
YR,F,Y22,FR,2019,64.4
YR,F,Y23,FR,2019,63.4
YR,F,Y24,FR,2019,62.5
YR,F,Y25,FR,2019,61.5
YR,F,Y26,FR,2019,60.5
YR,F,Y27,FR,2019,59.5
YR,F,Y28,FR,2019,58.5
YR,F,Y29,FR,2019,57.5
YR,F,Y3,FR,2019,83.3
YR,F,Y30,FR,2019,56.5
YR,F,Y31,FR,2019,55.6
YR,F,Y32,FR,2019,54.6
YR,F,Y33,FR,2019,53.6
YR,F,Y34,FR,2019,52.6
YR,F,Y35,FR,2019,51.6
YR,F,Y36,FR,2019,50.7
YR,F,Y37,FR,2019,49.7
YR,F,Y38,FR,2019,48.7
YR,F,Y39,FR,2019,47.7
YR,F,Y4,FR,2019,82.3
YR,F,Y40,FR,2019,46.8
YR,F,Y41,FR,2019,45.8
YR,F,Y42,FR,2019,44.8
YR,F,Y43,FR,2019,43.9
YR,F,Y44,FR,2019,42.9
YR,F,Y45,FR,2019,42.0
YR,F,Y46,FR,2019,41.0
YR,F,Y47,FR,2019,40.1
YR,F,Y48,FR,2019,39.1
YR,F,Y49,FR,2019,38.2
YR,F,Y5,FR,2019,81.3
YR,F,Y50,FR,2019,37.3
YR,F,Y51,FR,2019,36.3
YR,F,Y52,FR,2019,35.4
YR,F,Y53,FR,2019,34.5
YR,F,Y54,FR,2019,33.6
YR,F,Y55,FR,2019,32.7
YR,F,Y56,FR,2019,31.8
YR,F,Y57,FR,2019,30.9
YR,F,Y58,FR,2019,30.0
YR,F,Y59,FR,2019,29.1
YR,F,Y6,FR,2019,80.3
YR,F,Y60,FR,2019,28.2
YR,F,Y61,FR,2019,27.3
YR,F,Y62,FR,2019,26.4
YR,F,Y63,FR,2019,25.6
YR,F,Y64,FR,2019,24.7
YR,F,Y65,FR,2019,23.9
YR,F,Y66,FR,2019,23.0
YR,F,Y67,FR,2019,22.1
YR,F,Y68,FR,2019,21.3
YR,F,Y69,FR,2019,20.5
YR,F,Y7,FR,2019,79.3
YR,F,Y70,FR,2019,19.6
YR,F,Y71,FR,2019,18.8
YR,F,Y72,FR,2019,18.0
YR,F,Y73,FR,2019,17.2
YR,F,Y74,FR,2019,16.4
YR,F,Y75,FR,2019,15.6
YR,F,Y76,FR,2019,14.8
YR,F,Y77,FR,2019,14.0
YR,F,Y78,FR,2019,13.3
YR,F,Y79,FR,2019,12.5
YR,F,Y8,FR,2019,78.3
YR,F,Y80,FR,2019,11.8
YR,F,Y81,FR,2019,11.1
YR,F,Y82,FR,2019,10.4
YR,F,Y83,FR,2019,9.7
YR,F,Y84,FR,2019,9.1
YR,F,Y9,FR,2019,77.3
YR,F,Y_GE85,FR,2019,8.5
YR,F,Y_LT1,FR,2019,85.9
YR,M,Y1,FR,2019,79.2
YR,M,Y10,FR,2019,70.3
YR,M,Y11,FR,2019,69.3
YR,M,Y12,FR,2019,68.3
YR,M,Y13,FR,2019,67.4
YR,M,Y14,FR,2019,66.4
YR,M,Y15,FR,2019,65.4
YR,M,Y16,FR,2019,64.4
YR,M,Y17,FR,2019,63.4
YR,M,Y18,FR,2019,62.4
YR,M,Y19,FR,2019,61.4
YR,M,Y2,FR,2019,78.3
YR,M,Y20,FR,2019,60.5
YR,M,Y21,FR,2019,59.5
YR,M,Y22,FR,2019,58.5
YR,M,Y23,FR,2019,57.6
YR,M,Y24,FR,2019,56.6
YR,M,Y25,FR,2019,55.6
YR,M,Y26,FR,2019,54.7
YR,M,Y27,FR,2019,53.7
YR,M,Y28,FR,2019,52.8
YR,M,Y29,FR,2019,51.8
YR,M,Y3,FR,2019,77.3
YR,M,Y30,FR,2019,50.8
YR,M,Y31,FR,2019,49.9
YR,M,Y32,FR,2019,48.9
YR,M,Y33,FR,2019,48.0
YR,M,Y34,FR,2019,47.0
YR,M,Y35,FR,2019,46.1
YR,M,Y36,FR,2019,45.1
YR,M,Y37,FR,2019,44.1
YR,M,Y38,FR,2019,43.2
YR,M,Y39,FR,2019,42.3
YR,M,Y4,FR,2019,76.3
YR,M,Y40,FR,2019,41.3
YR,M,Y41,FR,2019,40.4
YR,M,Y42,FR,2019,39.4
YR,M,Y43,FR,2019,38.5
YR,M,Y44,FR,2019,37.6
YR,M,Y45,FR,2019,36.6
YR,M,Y46,FR,2019,35.7
YR,M,Y47,FR,2019,34.8
YR,M,Y48,FR,2019,33.9
YR,M,Y49,FR,2019,33.0
YR,M,Y5,FR,2019,75.3
YR,M,Y50,FR,2019,32.1
YR,M,Y51,FR,2019,31.2
YR,M,Y52,FR,2019,30.3
YR,M,Y53,FR,2019,29.5
YR,M,Y54,FR,2019,28.6
YR,M,Y55,FR,2019,27.8
YR,M,Y56,FR,2019,26.9
YR,M,Y57,FR,2019,26.1
YR,M,Y58,FR,2019,25.3
YR,M,Y59,FR,2019,24.4
YR,M,Y6,FR,2019,74.3
YR,M,Y60,FR,2019,23.6
YR,M,Y61,FR,2019,22.9
YR,M,Y62,FR,2019,22.1
YR,M,Y63,FR,2019,21.3
YR,M,Y64,FR,2019,20.6
YR,M,Y65,FR,2019,19.8
YR,M,Y66,FR,2019,19.1
YR,M,Y67,FR,2019,18.3
YR,M,Y68,FR,2019,17.6
YR,M,Y69,FR,2019,16.9
YR,M,Y7,FR,2019,73.3
YR,M,Y70,FR,2019,16.2
YR,M,Y71,FR,2019,15.5
YR,M,Y72,FR,2019,14.8
YR,M,Y73,FR,2019,14.1
YR,M,Y74,FR,2019,13.4
YR,M,Y75,FR,2019,12.7
YR,M,Y76,FR,2019,12.1
YR,M,Y77,FR,2019,11.4
YR,M,Y78,FR,2019,10.8
YR,M,Y79,FR,2019,10.1
YR,M,Y8,FR,2019,72.3
YR,M,Y80,FR,2019,9.6
YR,M,Y81,FR,2019,9.0
YR,M,Y82,FR,2019,8.4
YR,M,Y83,FR,2019,7.9
YR,M,Y84,FR,2019,7.3
YR,M,Y9,FR,2019,71.3
YR,M,Y_GE85,FR,2019,6.9
YR,M,Y_LT1,FR,2019,79.9
YR,T,Y1,FR,2019,82.3
YR,T,Y10,FR,2019,73.4
YR,T,Y11,FR,2019,72.4
YR,T,Y12,FR,2019,71.4
YR,T,Y13,FR,2019,70.4
YR,T,Y14,FR,2019,69.4
YR,T,Y15,FR,2019,68.4
YR,T,Y16,FR,2019,67.4
YR,T,Y17,FR,2019,66.5
YR,T,Y18,FR,2019,65.5
YR,T,Y19,FR,2019,64.5
YR,T,Y2,FR,2019,81.3
YR,T,Y20,FR,2019,63.5
YR,T,Y21,FR,2019,62.5
YR,T,Y22,FR,2019,61.6
YR,T,Y23,FR,2019,60.6
YR,T,Y24,FR,2019,59.6
YR,T,Y25,FR,2019,58.6
YR,T,Y26,FR,2019,57.7
YR,T,Y27,FR,2019,56.7
YR,T,Y28,FR,2019,55.7
YR,T,Y29,FR,2019,54.7
YR,T,Y3,FR,2019,80.4
YR,T,Y30,FR,2019,53.8
YR,T,Y31,FR,2019,52.8
YR,T,Y32,FR,2019,51.8
YR,T,Y33,FR,2019,50.9
YR,T,Y34,FR,2019,49.9
YR,T,Y35,FR,2019,48.9
YR,T,Y36,FR,2019,48.0
YR,T,Y37,FR,2019,47.0
YR,T,Y38,FR,2019,46.0
YR,T,Y39,FR,2019,45.1
YR,T,Y4,FR,2019,79.4
YR,T,Y40,FR,2019,44.1
YR,T,Y41,FR,2019,43.2
YR,T,Y42,FR,2019,42.2
YR,T,Y43,FR,2019,41.3
YR,T,Y44,FR,2019,40.3
YR,T,Y45,FR,2019,39.4
YR,T,Y46,FR,2019,38.5
YR,T,Y47,FR,2019,37.5
YR,T,Y48,FR,2019,36.6
YR,T,Y49,FR,2019,35.7
YR,T,Y5,FR,2019,78.4
YR,T,Y50,FR,2019,34.8
YR,T,Y51,FR,2019,33.9
YR,T,Y52,FR,2019,33.0
YR,T,Y53,FR,2019,32.1
YR,T,Y54,FR,2019,31.2
YR,T,Y55,FR,2019,30.3
YR,T,Y56,FR,2019,29.5
YR,T,Y57,FR,2019,28.6
YR,T,Y58,FR,2019,27.7
YR,T,Y59,FR,2019,26.9
YR,T,Y6,FR,2019,77.4
YR,T,Y60,FR,2019,26.0
YR,T,Y61,FR,2019,25.2
YR,T,Y62,FR,2019,24.4
YR,T,Y63,FR,2019,23.6
YR,T,Y64,FR,2019,22.8
YR,T,Y65,FR,2019,22.0
YR,T,Y66,FR,2019,21.2
YR,T,Y67,FR,2019,20.4
YR,T,Y68,FR,2019,19.6
YR,T,Y69,FR,2019,18.8
YR,T,Y7,FR,2019,76.4
YR,T,Y70,FR,2019,18.1
YR,T,Y71,FR,2019,17.3
YR,T,Y72,FR,2019,16.6
YR,T,Y73,FR,2019,15.8
YR,T,Y74,FR,2019,15.1
YR,T,Y75,FR,2019,14.3
YR,T,Y76,FR,2019,13.6
YR,T,Y77,FR,2019,12.9
YR,T,Y78,FR,2019,12.2
YR,T,Y79,FR,2019,11.5
YR,T,Y8,FR,2019,75.4
YR,T,Y80,FR,2019,10.9
YR,T,Y81,FR,2019,10.2
YR,T,Y82,FR,2019,9.6
YR,T,Y83,FR,2019,9.0
YR,T,Y84,FR,2019,8.5
YR,T,Y9,FR,2019,74.4
YR,T,Y_GE85,FR,2019,7.9
YR,T,Y_LT1,FR,2019,83.0
YR,F,Y1,FR,2018,85.1
YR,F,Y10,FR,2018,76.2
YR,F,Y11,FR,2018,75.2
YR,F,Y12,FR,2018,74.2
YR,F,Y13,FR,2018,73.2
YR,F,Y14,FR,2018,72.2
YR,F,Y15,FR,2018,71.3
YR,F,Y16,FR,2018,70.3
YR,F,Y17,FR,2018,69.3
YR,F,Y18,FR,2018,68.3
YR,F,Y19,FR,2018,67.3
YR,F,Y2,FR,2018,84.2
YR,F,Y20,FR,2018,66.3
YR,F,Y21,FR,2018,65.3
YR,F,Y22,FR,2018,64.3
YR,F,Y23,FR,2018,63.3
YR,F,Y24,FR,2018,62.4
YR,F,Y25,FR,2018,61.4
YR,F,Y26,FR,2018,60.4
YR,F,Y27,FR,2018,59.4
YR,F,Y28,FR,2018,58.4
YR,F,Y29,FR,2018,57.4
YR,F,Y3,FR,2018,83.2
YR,F,Y30,FR,2018,56.4
YR,F,Y31,FR,2018,55.5
YR,F,Y32,FR,2018,54.5
YR,F,Y33,FR,2018,53.5
YR,F,Y34,FR,2018,52.5
YR,F,Y35,FR,2018,51.5
YR,F,Y36,FR,2018,50.6
YR,F,Y37,FR,2018,49.6
YR,F,Y38,FR,2018,48.6
YR,F,Y39,FR,2018,47.6
YR,F,Y4,FR,2018,82.2
YR,F,Y40,FR,2018,46.7
YR,F,Y41,FR,2018,45.7
YR,F,Y42,FR,2018,44.7
YR,F,Y43,FR,2018,43.8
YR,F,Y44,FR,2018,42.8
YR,F,Y45,FR,2018,41.9
YR,F,Y46,FR,2018,40.9
YR,F,Y47,FR,2018,40.0
YR,F,Y48,FR,2018,39.0
YR,F,Y49,FR,2018,38.1
YR,F,Y5,FR,2018,81.2
YR,F,Y50,FR,2018,37.2
YR,F,Y51,FR,2018,36.3
YR,F,Y52,FR,2018,35.3
YR,F,Y53,FR,2018,34.4
YR,F,Y54,FR,2018,33.5
YR,F,Y55,FR,2018,32.6
YR,F,Y56,FR,2018,31.7
YR,F,Y57,FR,2018,30.8
YR,F,Y58,FR,2018,29.9
YR,F,Y59,FR,2018,29.0
YR,F,Y6,FR,2018,80.2
YR,F,Y60,FR,2018,28.1
YR,F,Y61,FR,2018,27.3
YR,F,Y62,FR,2018,26.4
YR,F,Y63,FR,2018,25.5
YR,F,Y64,FR,2018,24.7
YR,F,Y65,FR,2018,23.8
YR,F,Y66,FR,2018,22.9
YR,F,Y67,FR,2018,22.1
YR,F,Y68,FR,2018,21.2
YR,F,Y69,FR,2018,20.4
YR,F,Y7,FR,2018,79.2
YR,F,Y70,FR,2018,19.6
YR,F,Y71,FR,2018,18.7
YR,F,Y72,FR,2018,17.9
YR,F,Y73,FR,2018,17.1
YR,F,Y74,FR,2018,16.3
YR,F,Y75,FR,2018,15.5
YR,F,Y76,FR,2018,14.7
YR,F,Y77,FR,2018,13.9
YR,F,Y78,FR,2018,13.2
YR,F,Y79,FR,2018,12.4
YR,F,Y8,FR,2018,78.2
YR,F,Y80,FR,2018,11.7
YR,F,Y81,FR,2018,11.0
YR,F,Y82,FR,2018,10.3
YR,F,Y83,FR,2018,9.7
YR,F,Y84,FR,2018,9.1
YR,F,Y9,FR,2018,77.2
YR,F,Y_GE85,FR,2018,8.5
YR,F,Y_LT1,FR,2018,85.8
YR,M,Y1,FR,2018,79.1
YR,M,Y10,FR,2018,70.1
YR,M,Y11,FR,2018,69.1
YR,M,Y12,FR,2018,68.2
YR,M,Y13,FR,2018,67.2
YR,M,Y14,FR,2018,66.2
YR,M,Y15,FR,2018,65.2
YR,M,Y16,FR,2018,64.2
YR,M,Y17,FR,2018,63.2
YR,M,Y18,FR,2018,62.2
YR,M,Y19,FR,2018,61.2
YR,M,Y2,FR,2018,78.1
YR,M,Y20,FR,2018,60.3
YR,M,Y21,FR,2018,59.3
YR,M,Y22,FR,2018,58.3
YR,M,Y23,FR,2018,57.4
YR,M,Y24,FR,2018,56.4
YR,M,Y25,FR,2018,55.5
YR,M,Y26,FR,2018,54.5
YR,M,Y27,FR,2018,53.5
YR,M,Y28,FR,2018,52.6
YR,M,Y29,FR,2018,51.6
YR,M,Y3,FR,2018,77.1
YR,M,Y30,FR,2018,50.6
YR,M,Y31,FR,2018,49.7
YR,M,Y32,FR,2018,48.7
YR,M,Y33,FR,2018,47.8
YR,M,Y34,FR,2018,46.8
YR,M,Y35,FR,2018,45.8
YR,M,Y36,FR,2018,44.9
YR,M,Y37,FR,2018,43.9
YR,M,Y38,FR,2018,43.0
YR,M,Y39,FR,2018,42.0
YR,M,Y4,FR,2018,76.1
YR,M,Y40,FR,2018,41.1
YR,M,Y41,FR,2018,40.2
YR,M,Y42,FR,2018,39.2
YR,M,Y43,FR,2018,38.3
YR,M,Y44,FR,2018,37.4
YR,M,Y45,FR,2018,36.4
YR,M,Y46,FR,2018,35.5
YR,M,Y47,FR,2018,34.6
YR,M,Y48,FR,2018,33.7
YR,M,Y49,FR,2018,32.8
YR,M,Y5,FR,2018,75.1
YR,M,Y50,FR,2018,31.9
YR,M,Y51,FR,2018,31.0
YR,M,Y52,FR,2018,30.2
YR,M,Y53,FR,2018,29.3
YR,M,Y54,FR,2018,28.4
YR,M,Y55,FR,2018,27.6
YR,M,Y56,FR,2018,26.8
YR,M,Y57,FR,2018,25.9
YR,M,Y58,FR,2018,25.1
YR,M,Y59,FR,2018,24.3
YR,M,Y6,FR,2018,74.1
YR,M,Y60,FR,2018,23.5
YR,M,Y61,FR,2018,22.7
YR,M,Y62,FR,2018,21.9
YR,M,Y63,FR,2018,21.2
YR,M,Y64,FR,2018,20.4
YR,M,Y65,FR,2018,19.7
YR,M,Y66,FR,2018,19.0
YR,M,Y67,FR,2018,18.2
YR,M,Y68,FR,2018,17.5
YR,M,Y69,FR,2018,16.8
YR,M,Y7,FR,2018,73.1
YR,M,Y70,FR,2018,16.1
YR,M,Y71,FR,2018,15.3
YR,M,Y72,FR,2018,14.6
YR,M,Y73,FR,2018,14.0
YR,M,Y74,FR,2018,13.3
YR,M,Y75,FR,2018,12.6
YR,M,Y76,FR,2018,11.9
YR,M,Y77,FR,2018,11.3
YR,M,Y78,FR,2018,10.6
YR,M,Y79,FR,2018,10.0
YR,M,Y8,FR,2018,72.1
YR,M,Y80,FR,2018,9.4
YR,M,Y81,FR,2018,8.9
YR,M,Y82,FR,2018,8.3
YR,M,Y83,FR,2018,7.8
YR,M,Y84,FR,2018,7.3
YR,M,Y9,FR,2018,71.1
YR,M,Y_GE85,FR,2018,6.8
YR,M,Y_LT1,FR,2018,79.7
YR,T,Y1,FR,2018,82.2
YR,T,Y10,FR,2018,73.3
YR,T,Y11,FR,2018,72.3
YR,T,Y12,FR,2018,71.3
YR,T,Y13,FR,2018,70.3
YR,T,Y14,FR,2018,69.3
YR,T,Y15,FR,2018,68.3
YR,T,Y16,FR,2018,67.3
YR,T,Y17,FR,2018,66.3
YR,T,Y18,FR,2018,65.3
YR,T,Y19,FR,2018,64.3
YR,T,Y2,FR,2018,81.2
YR,T,Y20,FR,2018,63.4
YR,T,Y21,FR,2018,62.4
YR,T,Y22,FR,2018,61.4
YR,T,Y23,FR,2018,60.4
YR,T,Y24,FR,2018,59.5
YR,T,Y25,FR,2018,58.5
YR,T,Y26,FR,2018,57.5
YR,T,Y27,FR,2018,56.5
YR,T,Y28,FR,2018,55.6
YR,T,Y29,FR,2018,54.6
YR,T,Y3,FR,2018,80.2
YR,T,Y30,FR,2018,53.6
YR,T,Y31,FR,2018,52.6
YR,T,Y32,FR,2018,51.7
YR,T,Y33,FR,2018,50.7
YR,T,Y34,FR,2018,49.7
YR,T,Y35,FR,2018,48.8
YR,T,Y36,FR,2018,47.8
YR,T,Y37,FR,2018,46.8
YR,T,Y38,FR,2018,45.9
YR,T,Y39,FR,2018,44.9
YR,T,Y4,FR,2018,79.2
YR,T,Y40,FR,2018,44.0
YR,T,Y41,FR,2018,43.0
YR,T,Y42,FR,2018,42.1
YR,T,Y43,FR,2018,41.1
